filename, language, JSON, XML, Markdown, HTML, JavaScript, TypeScript, SCSS, Swift, comment, blank, total
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\calendar\calendar-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\calendar\calendar.module.ts, TypeScript, 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\calendar\calendar.page.html, HTML, 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 43
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\calendar\calendar.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 78, 0, 28, 5, 111
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\calendar\calendar.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\calendar\calendar.page.ts, TypeScript, 0, 0, 0, 0, 0, 263, 0, 0, 112, 38, 413
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\chat\chat-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\chat\chat.module.ts, TypeScript, 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\chat\chat.page.html, HTML, 0, 0, 0, 41, 0, 0, 0, 0, 0, 7, 48
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\chat\chat.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\chat\chat.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\chat\chat.page.ts, TypeScript, 0, 0, 0, 0, 0, 71, 0, 0, 1, 25, 97
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\event\event-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\event\event.module.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\event\event.page.html, HTML, 0, 0, 0, 138, 0, 0, 0, 0, 0, 9, 147
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\event\event.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 27, 0, 7, 1, 35
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\event\event.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\event\event.page.ts, TypeScript, 0, 0, 0, 0, 0, 64, 0, 0, 0, 10, 74
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\home\home.module.ts, TypeScript, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\home\home.page.html, HTML, 0, 0, 0, 24, 0, 0, 0, 0, 8, 2, 34
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\home\home.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 76, 0, 22, 8, 106
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\home\home.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\home\home.page.ts, TypeScript, 0, 0, 0, 0, 0, 46, 0, 0, 0, 11, 57
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infolist\infolist-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infolist\infolist.module.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infolist\infolist.page.html, HTML, 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infolist\infolist.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infolist\infolist.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infolist\infolist.page.ts, TypeScript, 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infos\infos-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infos\infos.module.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\infos\infos.page.html, HTML, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
